ProbeID	REGENS:248	REGENS:249	REGENS:250	REGENS:251	REGENS:252	REGENS:253
ENSDART00000135452	0	0	0	0	0	0
ENSDART00000135453	0	0	0	0	0	0
ENSDART00000135454	0.116022338	0	0.146353401	0.130276517	0	0.246029884
ENSDART00000135455	0	0	0	0	0	0
ENSDART00000135456	0.039719917	0	0	0	0	0
ENSDART00000135457	0	0	0	0	0	0
ENSDART00000135458	1.521178755	1.279084408	1.318899909	1.310662496	1.337378409	1.219175447
ENSDART00000135459	1.137708573	0.83941205	0.458055958	0.936239128	1.063955121	0.711499633
ENSDART00000135460	0	0	0.075031748	0	0	0.03782178
ENSDART00000135461	0.078375512	0	0	0.171212741	0	0
ENSDART00000135462	0.223404624	0	0	0	0	0
ENSDART00000135463	0.446664084	0.541393287	0.666507908	0.732507331	0.425220093	0.246029884
ENSDART00000135464	1.521178755	1.185902467	1.966961889	1.546744044	1.778462156	1.404297619
ENSDART00000135465	0.323344981	0.277995981	0.279217936	0.130276517	0.391345143	0.277986875
ENSDART00000135466	0.078375512	0	0.038003601	0	0.044270411	0
ENSDART00000135467	0	0	0	0	0	0
ENSDART00000135468	0.116022338	0.04314638	0.075031748	0	0.087222692	0.03782178
ENSDART00000135469	0	0	0	0	0	0
ENSDART00000135470	0	0	0	0	0	0
ENSDART00000135471	0	0	0	0	0	0
ENSDART00000135472	3.185094609	2.224465573	3.09206778	3.087000188	3.099676112	2.835113419
ENSDART00000135473	1.642231573	1.496467205	1.66086509	1.562216304	1.655419955	1.375046892
ENSDART00000135475	0	0	0	0	0	0
ENSDART00000135476	0.504583515	0.348489004	0.485820034	0.462590383	0.391345143	0.339852551
ENSDART00000135477	0	0.125750903	0	0	0	0
ENSDART00000135478	0	0	0	0	0	0
ENSDART00000135479	0	0	0	0	0	0
ENSDART00000135480	0.223404624	0	0	0.044745435	0.128933072	0
ENSDART00000135481	1.562668571	1.815474929	1.766506004	1.666111034	2.196475248	1.849257474
ENSDART00000135482	0	0.04314638	0.038003601	0	0.128933072	0.074677299
ENSDART00000135483	0.223404624	0.125750903	0.279217936	0.171212741	0.128933072	0.179910513
ENSDART00000135484	0.763714296	0	0	1.176352233	0	0
ENSDART00000135485	0.039719917	0	0	0	0	0
ENSDART00000135486	0	0	0	0	0	0
ENSDART00000135487	0	0	0	0.088144729	0	0
ENSDART00000135488	1.119288744	0.657010057	1.010278646	0.887939422	0.880773714	0.908098012
ENSDART00000135489	0	0	0	0	0	0
ENSDART00000135490	0	0	0	0.130276517	0.087222692	0.110614702
ENSDART00000135493	5.575089141	5.464987579	5.548549373	5.677545957	5.580020295	5.443836045
ENSDART00000135494	0.039719917	0	0.038003601	0.088144729	0	0
ENSDART00000135495	0.386321769	0.510981036	0.591823062	0.618726941	0.583601126	0.427944449
ENSDART00000135496	0.833172631	0	1.138254099	0	0	0.36981817
ENSDART00000135497	0	0	0	0	0	0
ENSDART00000135498	0.739797975	0	0	0.912291393	0	0
ENSDART00000135499	0.475914439	0.348489004	0.247131238	0.462590383	0.583601126	0.456152326
ENSDART00000135500	0.665573987	0.657010057	0.371406294	0.527086507	0.670903721	0.757561649
ENSDART00000135501	0.223404624	0.20388078	0.690567716	0.55828459	0.583601126	0.537610468
ENSDART00000135502	0.039719917	0	0.111133265	0	0.087222692	0.074677299
ENSDART00000135503	1.419460655	1.260923289	1.287693228	1.499306033	1.489219944	1.643864446
ENSDART00000135504	0	0	0.146353401	0	0.087222692	0.074677299
ENSDART00000135505	0	0	0	0	0	0
ENSDART00000135506	0.039719917	0.04314638	0.214314643	0.044745435	0.128933072	0
ENSDART00000135507	1.857558833	1.480860178	1.743689674	2.12783909	1.75201198	1.66818419
ENSDART00000135508	0	0	0	0	0	0
ENSDART00000135509	4.601725255	4.419599992	4.445802984	4.344133057	4.351463099	4.13764305
ENSDART00000135510	5.937035092	6.892649739	6.079452825	5.941357871	6.208463604	6.196337462
ENSDART00000135511	0.504583515	0.510981036	0.247131238	0.287481842	0.044270411	0.213348951
ENSDART00000135512	0.257493138	0.348489004	0.400871567	0.360094968	0.087222692	0.179910513
ENSDART00000135513	5.887554737	3.729534347	5.199308497	5.48398027	5.078181901	4.860477982
ENSDART00000135514	0.715478488	0.88755472	0.782984622	0.49519883	0.805604347	0.66391832
ENSDART00000135515	1.191597678	0.684522389	1.010278646	1.114728613	1.042289634	0.780052647
ENSDART00000135516	0	0	0.214314643	0	0.128933072	0
ENSDART00000135517	5.537432668	4.266445758	5.459463956	5.499132171	4.940024919	4.806722425
ENSDART00000135518	0	0	0	0	0	0
ENSDART00000135519	0.223404624	0.20388078	0.214314643	0.171212741	0.208901612	0
ENSDART00000135520	0.039719917	0.04314638	0.075031748	0	0.044270411	0.145678621
ENSDART00000135521	0	0.04314638	0.075031748	0.044745435	0.087222692	0
ENSDART00000135522	0	0	0.111133265	0	0	0
ENSDART00000135523	0.983311933	0.20388078	0.485820034	0.786200329	0.753223425	0.734714465
ENSDART00000135525	0.078375512	0	0	0	0.044270411	0
ENSDART00000135526	0	0	0	0.130276517	0.391345143	0
ENSDART00000135527	0.504583515	0.71151986	0.737516054	0.676738529	0.613292875	0.589467965
ENSDART00000135528	0	0	0	0	0	0
ENSDART00000135529	0	0	0	0	0	0
ENSDART00000135530	1.46393507	1.790370787	1.947125844	1.927366554	1.915857499	1.643864446
ENSDART00000135531	0.560267144	0.125750903	0.371406294	0.618726941	0.247282812	0.36981817
ENSDART00000135532	0	0	0	0.044745435	0	0.179910513
ENSDART00000135533	0.188491123	0.415697461	0.146353401	0.287481842	0.247282812	0.145678621
ENSDART00000135535	0.078375512	0	0	0.044745435	0	0
ENSDART00000135538	0.416808389	0.20388078	0	0	0	0
ENSDART00000135539	0.7872406	0.684522389	0.690567716	0	0	0.399174028
ENSDART00000135540	4.613289026	4.779921793	5.070005591	5.295499031	5.333635151	5.525973062
ENSDART00000135541	0.039719917	0	0	0	0	0
ENSDART00000135542	0.039719917	0	0.111133265	0.324245198	0.321111424	0.03782178
ENSDART00000135543	0	0	0	0	0	0
ENSDART00000135544	0.475914439	0.277995981	0.247131238	0.395075458	0.321111424	0.339852551
ENSDART00000135545	0	0	0.038003601	0	0	0
ENSDART00000135546	0.560267144	0.600359545	0.642040041	0.527086507	0.208901612	0.399174028
ENSDART00000135548	0.639959098	0.83941205	0.737516054	0.618726941	0.670903721	0.563772206
ENSDART00000135549	0.899439947	1.065507308	1.172826121	1.093588256	0.928795314	0.711499633
ENSDART00000135551	2.19314845	1.738812728	1.255796568	2.148486999	0.698868787	1.795074225
ENSDART00000135552	3.734458589	3.903511324	3.72810311	4.087682294	3.932817278	3.896495107
ENSDART00000135553	0.290794753	0.165344672	0.591823062	0.429227828	0.425220093	0.456152326
ENSDART00000135555	0.386321769	0.479913859	0.34132666	0.55828459	0.391345143	0.309251303
ENSDART00000135556	4.462532945	3.453857997	4.741892148	4.665727767	4.675551863	4.646120298
ENSDART00000135557	0.810389404	1.260923289	1.172826121	1.292224039	0.753223425	0.563772206
ENSDART00000135559	0.188491123	0.479913859	0.247131238	0.588822275	0.391345143	0.145678621
ENSDART00000135560	0	0.085039773	0	0.044745435	0.087222692	0
ENSDART00000135561	4.683927175	4.60739178	4.428023849	4.754270317	4.749280553	4.607341957
